Serial No.,Category,Poetry
1,Awesome Lines,Kisi ke haath bikne ko tayyar nahi
2,Awesome Lines,Ye mera dil hay koi misar ka bazaar nahi
3,Awesome Lines,Main tujhko mohabbat main sahoolat se rakhoonga
4,Awesome Lines,To mujh se mulaaqaat main waqfa na diya ker
5,Awesome Lines,Pehna ker loog libaas aitibaar-o-mohabbat ka
6,Awesome Lines,Phir gharz-o-munafqat se daagdaar kertay hain
7,Awesome Lines,Duaa kisi ko dilaati hay takht-o-taaj magar
8,Awesome Lines,Kisi ki aah bhi hukoomat cheen layti hay
9,Awesome Lines,Mansoob teri zaat se ranaiyaan tamam
10,Awesome Lines,Teray bina hayaat main koi dilkashi nahi
11,Awesome Lines,Gham-e-zindagi tujhay kiya kahon
12,Awesome Lines,Bus zindagi hi to muhaal hay
13,Awesome Lines,Jahan maut itni asaan thi
14,Awesome Lines,Wahin ji liya to kamal hay!
15,Awesome Lines,Teri aankhon ki kashish kaisay tujhay samajhaon
16,Awesome Lines,In charaghon ne meri neend urda rakhi hay!!!
17,Awesome Lines,"Dil tumhara hi hay, hamaisha hi tumhara hoga"
18,Awesome Lines,"Koon kehta hay, mujhay ishq doobara hoga!"
19,Awesome Lines,Reza reza kerkay bakhair daiti hay
20,Awesome Lines,Be parwah logon se be panah mohabbat
21,Awesome Lines,Baat ker laitay hain shayed koi hal mil jay
22,Awesome Lines,Aaj mushkil hay to kahna mujhay kul mil jay
23,Awesome Lines,Ain mumkin hay woh ik rooz mujhay kerlay qabool
24,Awesome Lines,Ain mumkin hay mujhay sabar ka phal mil jay!
25,4 Line Urdu Poetry,Bohat sooch ker soocha hay kinarah ker liya jay
26,4 Line Urdu Poetry,Faqaq teri yadoon per guzara ker liya jay
27,4 Line Urdu Poetry,Aik woh bhi waqt that jub ajnabi thay dono
28,4 Line Urdu Poetry,Wohi haal ab ke phir dobara ker liya jay
29,4 Line Urdu Poetry,Gham-e-zindagi tujhay kiya kahon
30,4 Line Urdu Poetry,Bus zindagi hi to muhaal hay
31,4 Line Urdu Poetry,Jahan maut itni asaan thi
32,4 Line Urdu Poetry,Wahin ji liya to kamal hay!
33,4 Line Urdu Poetry,Baat ker laitay hain shayed koi hal mil jay
34,4 Line Urdu Poetry,Aaj mushkil hay to kahna mujhay kul mil jay
35,4 Line Urdu Poetry,Ain mumkin hay woh ik rooz mujhay kerlay qabool
36,4 Line Urdu Poetry,Ain mumkin hay mujhay sabar ka phal mil jay!
37,4 Line Urdu Poetry,Dil ki hasrat zuban pe aanay lagi
38,4 Line Urdu Poetry,To nay daikha aur zindagi muskuranay lagi
39,4 Line Urdu Poetry,Ye ishq ki intiha thi ya dewangi meri
40,4 Line Urdu Poetry,Har soorat main teri soorat nazar anay lagi
41,4 Line Urdu Poetry,"Ye rang chehray ke, aur khuwaab apni aankhon ke"
42,4 Line Urdu Poetry,"Hawa chalay koi aisi, bikhar na jain kahin"
43,4 Line Urdu Poetry,Jhalak raha hay jin aankhon se ab wajood mera
44,4 Line Urdu Poetry,"Ye aankhain, haye ye aankhain, mukar na jain kahin!!!"
