Serial No.,Poetry
1,Bana ker choord daitay hain apni zaat ka aadi
2,kuch laug yoon bhi intiqaam laitay hain
3,Mujh ko siyah rang se ulfat bala ki thi
4,Phir yon howa ke bakht main siyahi bikhar gye
5,Bohat be kaif lamhe hain ajeeb bojhal tabiyyat hay
6,Na gham se dil behalta hay na khushiyaan raas aati hain
7,Tu ne daikha hay mahaz mujhay khush bahar se
8,Meray andar ki cheekhain tera dil phaard sakti hain
9,Udaas to bohat rahay per kabhi zaahir nahi kiya
10,Theek hoon bas is lafz ne sub sanbhaal liya
11,Lazzat gham-e-ishq ka tum kiya jano
12,Main khush raha dil ko barbaad kerkay
13,Hum itne bhi nahi badlay ke bhool jain apnon ko
14,Magar jub koi muntazir hi na ho to raabte achay nahi lagtay
15,Is qadar boojh hay neendon ka meri aankhon per
16,Main ne thak haar ker sona nahi mer jana hay!
17,Mujhay choord ker woh jis shakhs ke paas gaya hay
18,Meri barabari ka hota to bhi dil ko sabar aa jata!
19,Woh itna qareeb ho giya tha
20,Mujhay laga mera ho giya tha!
